estado,municipio,bairros,ano,periodo,levantamento,timestamp,mosquito,longitude,latitude,zona,variable,value
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2018,janeiro,1,1/1/2018,Aegypti,-59.90374882020829,-3.101146451955,LESTE,iip,3.86
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2019,fevereiro,1,1/2/2019,Aegypti,-59.90374882020829,-3.101146451955,LESTE,iip,2.39
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2019,novembro,2,1/11/2019,Aegypti,-59.90374882020829,-3.101146451955,LESTE,iip,1.14
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2020,fevereiro,1,1/2/2020,Aegypti,-59.90374882020829,-3.101146451955,LESTE,iip,2.56
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2016,agosto,2,1/8/2016,Aegypti,-60.00007480972341,-3.149693782493752,SUL,iip,0.57
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2017,outubro,2,1/10/2017,Aegypti,-60.00007480972341,-3.149693782493752,SUL,iip,3.31
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2017,fevereiro,1,1/2/2017,Aegypti,-60.00007480972341,-3.149693782493752,SUL,iip,2.3
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2018,outubro,2,1/10/2018,Aegypti,-60.00007480972341,-3.149693782493752,SUL,iip,1.02
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2018,janeiro,1,1/1/2018,Aegypti,-60.00007480972341,-3.149693782493752,SUL,iip,1.02
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2019,fevereiro,1,1/2/2019,Aegypti,-60.00007480972341,-3.149693782493752,SUL,iip,4.55
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2019,novembro,2,1/11/2019,Aegypti,-60.00007480972341,-3.149693782493752,SUL,iip,2.02
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2020,fevereiro,1,1/2/2020,Aegypti,-60.00007480972341,-3.149693782493752,SUL,iip,4.64
AMAZONAS,MANAUS,COLONIA SANTO ANTONIO,2016,agosto,2,1/8/2016,Aegypti,-60.013082551792,-3.037137863072288,NORTE,iip,0.51
AMAZONAS,MANAUS,COLONIA SANTO ANTONIO,2017,outubro,2,1/10/2017,Aegypti,-60.013082551792,-3.037137863072288,NORTE,iip,3.17
AMAZONAS,MANAUS,COLONIA SANTO ANTONIO,2017,fevereiro,1,1/2/2017,Aegypti,-60.013082551792,-3.037137863072288,NORTE,iip,1.15
AMAZONAS,MANAUS,COLONIA SANTO ANTONIO,2018,outubro,2,1/10/2018,Aegypti,-60.013082551792,-3.037137863072288,NORTE,iip,1.14
AMAZONAS,MANAUS,COLONIA SANTO ANTONIO,2018,janeiro,1,1/1/2018,Aegypti,-60.013082551792,-3.037137863072288,NORTE,iip,1.14
AMAZONAS,MANAUS,COLONIA SANTO ANTONIO,2019,fevereiro,1,1/2/2019,Aegypti,-60.013082551792,-3.037137863072288,NORTE,iip,2.0
AMAZONAS,MANAUS,COLONIA SANTO ANTONIO,2019,novembro,2,1/11/2019,Aegypti,-60.013082551792,-3.037137863072288,NORTE,iip,1.5
AMAZONAS,MANAUS,COLONIA SANTO ANTONIO,2020,fevereiro,1,1/2/2020,Aegypti,-60.013082551792,-3.037137863072288,NORTE,iip,0.56
AMAZONAS,MANAUS,COLONIA TERRA NOVA,2016,agosto,2,1/8/2016,Aegypti,-60.016788520386385,-3.0102387336721934,NORTE,iip,1.41
AMAZONAS,MANAUS,COLONIA TERRA NOVA,2017,outubro,2,1/10/2017,Aegypti,-60.016788520386385,-3.0102387336721934,NORTE,iip,3.22
AMAZONAS,MANAUS,COLONIA TERRA NOVA,2017,fevereiro,1,1/2/2017,Aegypti,-60.016788520386385,-3.0102387336721934,NORTE,iip,4.19
AMAZONAS,MANAUS,COLONIA TERRA NOVA,2018,outubro,2,1/10/2018,Aegypti,-60.016788520386385,-3.0102387336721934,NORTE,iip,1.34
AMAZONAS,MANAUS,COLONIA TERRA NOVA,2018,janeiro,1,1/1/2018,Aegypti,-60.016788520386385,-3.0102387336721934,NORTE,iip,1.34
AMAZONAS,MANAUS,COLONIA TERRA NOVA,2019,fevereiro,1,1/2/2019,Aegypti,-60.016788520386385,-3.0102387336721934,NORTE,iip,2.0
AMAZONAS,MANAUS,COLONIA TERRA NOVA,2019,novembro,2,1/11/2019,Aegypti,-60.016788520386385,-3.0102387336721934,NORTE,iip,0.51
AMAZONAS,MANAUS,COLONIA TERRA NOVA,2020,fevereiro,1,1/2/2020,Aegypti,-60.016788520386385,-3.0102387336721934,NORTE,iip,0.12
AMAZONAS,MANAUS,COMPENSA,2016,agosto,2,1/8/2016,Aegypti,-60.05863970791815,-3.1041500964467836,OESTE,iip,1.81
AMAZONAS,MANAUS,COMPENSA,2017,outubro,2,1/10/2017,Aegypti,-60.05863970791815,-3.1041500964467836,OESTE,iip,1.19
AMAZONAS,MANAUS,COMPENSA,2017,fevereiro,1,1/2/2017,Aegypti,-60.05863970791815,-3.1041500964467836,OESTE,iip,1.04
AMAZONAS,MANAUS,COMPENSA,2018,outubro,2,1/10/2018,Aegypti,-60.05863970791815,-3.1041500964467836,OESTE,iip,2.46
AMAZONAS,MANAUS,COMPENSA,2018,janeiro,1,1/1/2018,Aegypti,-60.05863970791815,-3.1041500964467836,OESTE,iip,2.46
AMAZONAS,MANAUS,COMPENSA,2019,fevereiro,1,1/2/2019,Aegypti,-60.05863970791815,-3.1041500964467836,OESTE,iip,1.96
AMAZONAS,MANAUS,COMPENSA,2019,novembro,2,1/11/2019,Aegypti,-60.05863970791815,-3.1041500964467836,OESTE,iip,1.94
AMAZONAS,MANAUS,COMPENSA,2020,fevereiro,1,1/2/2020,Aegypti,-60.05863970791815,-3.1041500964467836,OESTE,iip,1.26
AMAZONAS,MANAUS,COROADO,2016,agosto,2,1/8/2016,Aegypti,-59.968167486982615,-3.0904362836152965,LESTE,iip,1.18
AMAZONAS,MANAUS,COROADO,2017,outubro,2,1/10/2017,Aegypti,-59.968167486982615,-3.0904362836152965,LESTE,iip,2.28
AMAZONAS,MANAUS,COROADO,2017,fevereiro,1,1/2/2017,Aegypti,-59.968167486982615,-3.0904362836152965,LESTE,iip,3.27
AMAZONAS,MANAUS,COROADO,2018,janeiro,1,1/1/2018,Aegypti,-59.968167486982615,-3.0904362836152965,LESTE,iip,5.61
AMAZONAS,MANAUS,COROADO,2019,fevereiro,1,1/2/2019,Aegypti,-59.968167486982615,-3.0904362836152965,LESTE,iip,4.05
AMAZONAS,MANAUS,COROADO,2019,novembro,2,1/11/2019,Aegypti,-59.968167486982615,-3.0904362836152965,LESTE,iip,1.86
AMAZONAS,MANAUS,COROADO,2020,fevereiro,1,1/2/2020,Aegypti,-59.968167486982615,-3.0904362836152965,LESTE,iip,3.94
AMAZONAS,MANAUS,CRESPO,2016,agosto,2,1/8/2016,Aegypti,-59.98832783232588,-3.131194146312211,SUL,iip,0.0
AMAZONAS,MANAUS,CRESPO,2017,outubro,2,1/10/2017,Aegypti,-59.98832783232588,-3.131194146312211,SUL,iip,0.47
AMAZONAS,MANAUS,CRESPO,2017,fevereiro,1,1/2/2017,Aegypti,-59.98832783232588,-3.131194146312211,SUL,iip,1.21
AMAZONAS,MANAUS,CRESPO,2018,outubro,2,1/10/2018,Aegypti,-59.98832783232588,-3.131194146312211,SUL,iip,0.71
AMAZONAS,MANAUS,CRESPO,2018,janeiro,1,1/1/2018,Aegypti,-59.98832783232588,-3.131194146312211,SUL,iip,0.71
AMAZONAS,MANAUS,CRESPO,2019,fevereiro,1,1/2/2019,Aegypti,-59.98832783232588,-3.131194146312211,SUL,iip,1.46
AMAZONAS,MANAUS,CRESPO,2019,novembro,2,1/11/2019,Aegypti,-59.98832783232588,-3.131194146312211,SUL,iip,0.54
